TYPE,ADDRESS,LOCATION,LOCATION_2,ENTRANCE_T,TYPE_2,LAT,LNG
Pedestrian,33RD ST,East Fairmount Park, ,Trail - Park,Primary,39.984254208,-75.1881317124
Pedestrian and Vehicular,33RD ST,East Fairmount Park,East Park Reservoir,"Trail - Park, Road",Primary,39.9884542091,-75.1872136562
Pedestrian,2102 N 33RD ST,East Fairmount Park,Mander Playground,Trail - Park,Primary,39.9893699584,-75.1870163045
Pedestrian,33RD ST,East Fairmount Park, ,Trail - Park,Primary,39.9903033176,-75.1868158862
Vehicular,NEILL DR,West Fairmount Park, ,Road,Secondary,40.0064389793,-75.2075675384
Vehicular,SCHUYLKILL EXPY,West Fairmount Park,Schuylkill Expressway,Road,Secondary,40.0083461412,-75.2034059608
Pedestrian and Vehicular,FALLS RD,East Fairmount Park,Falls Bridge,"Road, Bridge",Primary,40.0090250015,-75.1970305382
Pedestrian and Vehicular,FALLS RD,West Fairmount Park,"Falls Bridge, MLK Drive","Road, Bridge",Primary,40.0077244858,-75.197832717
Vehicular,ROOSEVELT BLVD,West Fairmount Park,Schuylkill Expressway,"Road, Bridge",Secondary,40.0067023649,-75.1935014111
Pedestrian and Vehicular,2700 WEST RIVER DR,West Fairmount Park,West Comfort Station,"Trail - Park, Parking Lot",Primary,40.0020613586,-75.1926489135
